# docs/ir-op-inventory.tsv — GENERATED, do not edit.
# regenerate:  tools/ir-inventory.pl
# one row per name exported by the :pcl runtime package (the IR's
# whole vocabulary).  Contract columns are UNCLASSIFIED until the op's
# docstring carries a `Contract:` tail (grammar: docs/ir-spec.md §10).
name	kind	family	lambda_list	ctx	coerce	magic	dies	dynamic	phase	host	flags	summary
*pcl-caller-subname-stack*	variable	package-tracking		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
*pcl-caller-wantarray*	variable	context-frame		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Saved *wantarray* from sub entry. p-wantarray reads this so wantarray() always reflects the context of the CURRENT sub's caller, even when *wantarray* has been 
*pcl-current-package*	variable	package-tracking		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
*pcl-stat-cache-path*	variable	filetest		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Operand of the most recent stat/lstat/filetest — a path string or a stream. nil before the first one, which makes a premature `_` test false.
*pcl-sub-call-depth*	variable	context-frame		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
*unitcheck-blocks*	variable	phase		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		UNITCHECK thunks (push = LIFO = perl's reverse order)
*wantarray*	variable	context-frame		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Context for the current call: t=list, nil=scalar, :void=void.
@!	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
|@"|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
|@#|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@$	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@%	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@&	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
|@'|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
|@(|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
|@)|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@*	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@+	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Regex @LAST_MATCH_END - match/group end offsets
|@,|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@-	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Regex @LAST_MATCH_START - match/group start offsets
@.	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@/	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
|@:|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
|@;|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@<	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@=	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@>	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@?	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@@	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@[	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
|@\\|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@]	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@^	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@_	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl @_ - current subroutine arguments
|@`|	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@ARGV	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl @ARGV - command line arguments
@INC	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl @INC - module search paths
@{^capture}	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Regex @{^CAPTURE} - capture group values of the last successful match
|@\||	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
@~	variable	magic-global		UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
box-nv	function	box	(box)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Get numeric value from box with lazy caching. Tied variables: bypass cache and call FETCH.
box-set	function	box	(box value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Set box value, invalidating caches. Pre-caches if already typed. If value is a box containing a primitive, unbox it (Perl copy semantics). If value is a box con
box-sv	function	box	(box)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Get string value from box with lazy caching. Tied variables: bypass cache and call FETCH.
ensure-boxed	function	box	(val)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Ensure a value is boxed
make-p-box	function	box	(value &optional class)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Create a p-box, pre-caching if value is already typed
make-p-tie-proxy	function	tie	(&key ((:tie-obj #:tie-obj) nil) ((:saved-value #:saved-value) nil) ((:untied #:untied) nil))	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
make-p-typeglob	function	typeglob	(package name)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		
p-	macro	logical	(a b)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl short-circuit OR
p-!	function	logical	(a)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl logical NOT - returns 1 or empty string like Perl, and consults the class's own `!' overload handler first.
p-!=	function	numeric-compare	(a b)	insensitive	num	none	no	no	no	none		Perl != with numberp fast path (returns 1 / "")
p-!~	function	regex	(string operation)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl !~ negative binding operator. Uses Perl truthiness, not CL nil-ness: a failed m// now returns the defined-false "" (not nil), so test with p-true-p, return
p-$	function	box	(box)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	setf	Perl scalar dereference $$ref - get value from the referenced box. Structure: $ref box -> p-backslash box -> target $x box We need to go TWO levels to get the a
p-%	function	numeric	(a b)	insensitive	num	none	yes	no	no	none		Perl modulo with integer fast path + use overload dispatch
p-%=	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl %= (modulo-assign). Overload `%` through %p-compound-%-slow when an operand is blessed; see %compound-arith-form. The non-blessed form is `%p-modulo`, the 
p-%=-raw	macro	compound-assignment	(var &rest %args)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl %= (modulo-assign). Overload `%` through %p-compound-%-slow when an operand is blessed; see %compound-arith-form. The non-blessed form is `%p-modulo`, the 
p-&&	macro	logical	(a b)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl short-circuit AND
p-*	function	numeric	(a &optional (b nil b-supplied-p))	insensitive	num	none	no	no	no	none		Perl * with numberp fast path + use overload dispatch
p-**	function	numeric	(a b)	insensitive	num	none	no	no	no	none		Perl exponentiation with use overload '**' dispatch
p-**=	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl **= (exponent-assign). Delegate to p-** so a negative exponent yields a float (2 ** -1 -> 0.5, not the leaked ratio "1/2") and overload '**' dispatches.
p-**=-raw	macro	compound-assignment	(var &rest %args)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl **= (exponent-assign). Delegate to p-** so a negative exponent yields a float (2 ** -1 -> 0.5, not the leaked ratio "1/2") and overload '**' dispatches.
p-*=	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl *= (multiply-assign). Overload `*` through %p-compound-*-slow when an operand is blessed; see %compound-arith-form.
p-*=-raw	macro	compound-assignment	(var &rest %args)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl *= (multiply-assign). Overload `*` through %p-compound-*-slow when an operand is blessed; see %compound-arith-form.
p-+	function	numeric	(a &optional (b nil b-supplied-p))	insensitive	num	none	no	no	no	none		Perl + with numberp fast path + use overload dispatch
p--	function	numeric	(a &optional b)	insensitive	num,str	none	no	no	no	none		Perl subtraction / unary minus with numberp fast path + overload dispatch.
p--b	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--b — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--b-impl.
p--c	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--c — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--c-impl.
p--d	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--d — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--d-impl.
p--e	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--e — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--e-impl.
p--f	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--f — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--f-impl.
p--g	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--g — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--g-impl.
p--k	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--k — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--k-impl.
p--l	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--l — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--l-impl.
p--o	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--o — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--o-impl.
p--p	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--p — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--p-impl.
p--r	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--r — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--r-impl.
p--s	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--s — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--s-impl.
p--t	macro	filetest	(&optional (fh (quote (quote STDIN))))	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl -t: bareword filehandle is auto-quoted (like p-fileno).
p--u	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--u — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--u-impl.
p--w	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--w — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--w-impl.
p--x	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--x — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--x-impl.
p--z	macro	filetest	(arg)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl p--z — a bareword filehandle in the operand slot is a NAME, not a variable (#1032). Body: %p--z-impl.
p-.	function	string	(a b)	insensitive	str	none	no	no	no	none		Perl string concatenation operator (.) with stringp fast path.
p-..	function	range	(start end)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl range operator .. - returns a vector from start to end (inclusive). Works with numbers, single characters, and multi-character strings (magical string incr
p-...	function	range	(start end)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl three-dot range operator ... - same as .. in list context.
p-.=	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl .= (concat-assign). Overload `.` through %p-compound-.-slow when an operand is blessed (perl autogenerates `.` from `""`, so a class with only `""` still c
p-.=-raw	macro	compound-assignment	(var &rest %args)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl .= (concat-assign). Overload `.` through %p-compound-.-slow when an operand is blessed (perl autogenerates `.` from `""`, so a class with only `""` still c
p-/	function	numeric	(a b)	insensitive	num	none	yes	no	no	none		Perl division with numberp fast path + use overload dispatch
p-//	macro	logical	(a b)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl defined-or operator
p-//=	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl //= (defined-or-assign) - assigns value only if place is undef.
p-/=	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl /= (divide-assign). Delegate to p-/ so an exact CL ratio is coerced to a float (7/2 -> 3.5, not the leaked ratio "7/2") and overload '/' dispatches.
p-/=-raw	macro	compound-assignment	(var &rest %args)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl /= (divide-assign). Delegate to p-/ so an exact CL ratio is coerced to a float (7/2 -> 3.5, not the leaked ratio "7/2") and overload '/' dispatches.
p-<	function	numeric-compare	(a b)	insensitive	num	none	no	no	no	none		Perl < with numberp fast path (returns 1 / "")
p-<<	function	bitwise	(a b)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl left shift — clamp shift count to prevent SBCL bignum explosion
p-<<-int	function	bitwise	(a b)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl left shift under 'use integer' — signed 64-bit arithmetic.
p-<<=	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl <<= (left-shift-assign)
p-<<=-raw	macro	compound-assignment	(var &rest %args)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl <<= (left-shift-assign)
p-<=	function	numeric-compare	(a b)	insensitive	num	none	no	no	no	none		Perl <= with numberp fast path (returns 1 / "")
p-<=>	function	numeric-compare	(a b)	insensitive	num	none	no	no	no	none		Perl spaceship operator with numberp fast path
p-==	function	numeric-compare	(a b)	insensitive	num	none	no	no	no	none		Perl == with numberp fast path (returns 1 / "")
p-=~	function	regex	(string operation)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl =~ binding operator. Dispatches based on operation type: - p-regex-match: perform match, return t/nil - p-subst-op: perform substitution, modify string, re
p->	function	numeric-compare	(a b)	insensitive	num	none	no	no	no	none		Perl > with numberp fast path (returns 1 / "")
p->=	function	numeric-compare	(a b)	insensitive	num	none	no	no	no	none		Perl >= with numberp fast path (returns 1 / "")
p->>	function	bitwise	(a b)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl right shift — clamp shift count to prevent SBCL bignum explosion
p->>-int	function	bitwise	(a b)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl right shift under 'use integer' — signed 64-bit arithmetic.
p->>=	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl >>= (right-shift-assign)
p->>=-raw	macro	compound-assignment	(var &rest %args)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl >>= (right-shift-assign)
p-abs	function	numeric	(val)	insensitive	num	none	no	no	no	none		Perl abs - absolute value. `use overload' decides first (%p-abs-overload).
p-accept	macro	socket	(newfh serverfh)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl accept — both filehandles are auto-quoted (the new socket is written through NEWSOCK, like read writes through its buffer).
p-alarm	function	time	(&optional secs)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl alarm - schedule SIGALRM after SECS seconds (0 cancels a pending alarm). When it fires, $SIG{ALRM} is invoked. Returns the number of seconds that were rema
p-alias-array-elements	function	refaliasing	(arr refs)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		`\(@a) = LIST` — perlref's parenthesized-ARRAY refaliasing: each element SLOT of @a becomes the scalar its right-hand reference points at. Perl REPLACES the con
p-alias-array-slot	function	refaliasing	(arr idx ref)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		`\$a[i] = REF` — make the slot hold the referent box itself. See p-alias-hash-slot for why the container goes through the cast.
p-alias-array-target	function	refaliasing	(ref)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		The VECTOR an array reference points at, for `\@a = REF`.
p-alias-code-target	function	refaliasing	(ref)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		The FUNCTION a code reference points at, for `\&c = REF`.
p-alias-eval-cell	function	exception	(sym cell)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Store CELL (a renamed file-lexical's container) as the value of SYM, the variable's ORIGINAL-name symbol in its declaring package, so string eval resolves the n
p-alias-hash-slot	function	refaliasing	(hash key ref)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		`\$h{k} = REF` — make the slot hold the referent box itself. HASH is whatever the element place's container argument evaluates to (a raw hash, a box, or a hash 
p-alias-hash-target	function	refaliasing	(ref)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		The HASH-TABLE a hash reference points at, for `\%h = REF`.
p-alias-scalar-target	function	refaliasing	(ref)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		The BOX a scalar reference points at, for `\$x = REF`. Two shapes reach here and IS-REF is what separates them (that is the flag's job — p-backslash sets it on 
p-and	macro	logical	(a b)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl 'and' operator
p-and-assign	macro	compound-assignment	(place value)	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED		Perl &&= (and-assign) - assigns value only if place is true.
p-aref	function	elements	(arr idx)	insensitive	num	none	yes	no	no	none	setf	Perl array access (supports negative indices, works on vectors and lists). Returns the VALUE (unboxed for scalars, box preserved for references). FAST ARM (s458
